Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Chihuahua,12.7761845883,49.1893495807,54.065469905,42.8542899266,58.0459770115,56.4102564103,79.6178343949,46.5753424658,4.1139240506,16.6611197002,24.3563296969,0,32.6865213178,99.1525423729,5.7793253963,99.5720332078,0.1580315455,39.5470736962,40.3068785247,77.8861464968,60.4728823458,85.409252669,86.4547262949,100,82.3548618093,39.8887292754,67.1917696601,53.8478963346,0,43.75,87.9120879121,43.7007874016,4.9429657795,17.2692525186,77.9516685846,19.659079218,79.4483744771,49.0902848527,47.740768201,87.1438498958,44.653412144,0,23.2415902141,15.6857204729,42.702531385,69.1031622602,22.2037450828,55,#DIV/0!,64.98296738,37.389537123,19.8720061608,32.6160168327,47.3086648465,24.4322631167,48.3707976698,48.6100342566,26.6289070603,31.4289154027,90.6032482599,0.0018934236,15.0479262091,21.1382113821,9.5859813707,33.7394891324,16.4956654891,31.2369075924,19.23932289,2.2736547778,59.4257801853,89.0976875,99.4997389947,12.745389649,84.3811523822,63.004917493,17.6710542275,94.1688442955,0,361.4116801552,100,2.2842295857,12.0051412781,100,26.5593062867,9.1756186539,28.8259324013,63.5612521988,40.123938846,100,4.1632890456
Coahuila,13.4069283084,65.4102345219,35.3273495248,73.8469136031,65.5172413793,47.8632478632,70.7006369427,45.2054794521,10.253164557,36.6732858189,83.3761193928,10.7383399273,0,94.0677966102,13.2043976394,28.4366828974,0.1537899226,72.5710809828,24.6778907504,72.2292993631,63.7347079903,98.9323843416,60.126722169,95.1201091146,80.3236679446,61.5809304226,80.2042282785,54.4989292542,27.9614042291,17.9487179487,92.8571428571,100,44.1064638783,11.3045866245,92.2094361335,20.0553437181,97.7919961596,97.5385369339,75.8048009177,97.2202918694,54.5405695862,100,38.8379204893,0,34.3651867255,0,16.3443414286,72.5,#DIV/0!,40.8073275224,66.9388267245,51.4132197595,36.7139229581,46.4520990594,21.1433046202,39.826088541,47.8397920286,19.209816789,29.5922796716,97.0417633411,0.015210191,8.3086959614,17.0731707317,23.5970305511,29.9050153506,37.4209158605,35.6377147306,17.9143459961,11.1466208855,62.0387248054,90.3074925,99.637691957,0,65.6254101588,72.4772319214,0.1875078091,93.9035105627,71.7146139017,270.1250616883,99.9429053991,6.5588068045,7.1850419773,30.1019522118,7.1606856343,19.6069258172,46.3650060939,49.9640271083,51.8157673261,17.4360646348,9.7518181699
Colima,0,35.9746864964,76.2038014784,100,63.7931034483,79.4871794872,78.3439490446,84.2465753425,8.2278481013,60.8114588574,57.4851139039,10.400405045,61.7637167241,96.6101694915,68.0610728308,0.725075741,0.6960360329,46.8163222322,3.4670481209,50.6979265483,71.4713246469,94.6619217082,78.1514771974,22.8071635662,76.3479099033,70.5393855115,75.3505890125,68.7508863782,27.509751591,38.8888888889,80.2197802198,51.5748031496,36.8821292776,31.8560229026,72.5316455696,2.8801530942,66.2737871717,75.8069095874,2.1559710704,84.2251563586,72.8103170339,0,56.5749235474,30.553360093,0,73.0948678072,24.1968799951,57.5,#DIV/0!,57.7044409958,68.7234397617,24.0136566495,27.2287418809,72.9038518089,22.3179326547,28.6782823191,42.1865624597,30.072394833,37.1239289549,95.5916473318,0.0012399073,16.537390303,8.9430894309,19.6550648939,69.1568334267,100,44.0378923962,16.8077829295,100,15.5967408132,88.61235875,99.6874276302,36.3622843546,71.8729492059,95.0857889476,8.0807441969,127.7085691908,0,265.9756699398,99.9181320573,1.8515877065,21.1679426798,1.0016256987,1.7491813347,16.875090546,15.5287123898,72.6709626865,33.3960861014,1.0214994413,15.7614056064
Distrito Federal,100,100,5.580781415,0,52.8735632184,47.0085470085,80.2547770701,88.3561643836,85.7594936709,12.571299978,46.7106599767,100,47.0219304361,86.4406779661,0.7062230164,12.429650525,100,42.3067072416,38.6222368584,99.9581570505,100,100,99.3663891549,37.8851526514,82.0753607669,100,80.3828538154,92.4972233199,41.4699240402,58.3333333333,95.0549450549,65.7480314961,0,5.6274831333,99.9884925201,12.9085061242,58.2761231424,32.1949634427,3.8067218815,0,53.0897367007,0,99.0825688073,83.3074194415,58.1870061843,92.0165889062,60.7421147325,100,#DIV/0!,23.889840245,42.8484437714,55.5521166569,6.9820884202,100,40.250587314,100,100,100,100,97.8538283063,18.613308076,29.6746438503,100,70.0506088432,25.1259373497,19.509878812,100,100,42.5578581153,100,94.91459875,99.2742948116,46.5496728138,81.2442577766,0,17.6710542275,39.6200120375,79.4017911487,1187.1406381058,99.7349907397,22.2735327574,9.5744933559,31.6437096299,100,100,0.750699348,100,100,44.5672528516,100
Durango,4.1019767717,35.8906197825,53.5374868004,69.9402849655,62.0689655172,52.9914529915,93.3121019108,87.6712328767,14.3037974684,34.7259084978,44.6375585753,0.4212034496,0,95.7627118644,3.7265249956,79.4598291719,0.3036851039,65.6613613014,24.664512411,67.923566879,37.9937863061,79.0035587189,45.2184483902,74.6323684509,48.2096000551,59.8442589025,94.8477803601,45.0040109305,51.9195237118,53.8461538462,84.0659340659,48.031496063,17.4904942966,16.452566074,76.5362485616,10.5288915103,32.3932915742,41.7121162391,70.5065819571,43.085476025,63.0306286943,0,42.2018348624,17.1532989727,67.2087413071,36.8584758942,7.1047271937,47.5,#DIV/0!,28.4536993253,26.3570498811,11.8284246535,38.0982588549,52.5711462042,2.6624902114,31.5213129831,32.0012517022,20.6022225524,16.5243078742,99.8259860789,0.6364090181,10.0036349704,7.3170731707,45.3628561944,34.8770105789,87.2006331355,13.8692483161,15.6024295413,2.2805936758,43.7433196828,87.88084875,99.1740973969,0,100,75.6899103783,100,85.3651651693,0,801.2472054957,99.8868293805,0.0581681104,4.215739754,7.642969554,7.9085979623,12.9388714047,29.3839513379,50.8579226099,3.2913845539,7.795233613,4.278329989
Guanajuato,15.5304366085,1.767421458,68.7064413939,70.6111481515,56.8965517241,55.5555555556,65.923566879,80.1369863014,46.9620253165,41.2978419024,90.4239078522,10.9727295138,61.7637167241,94.9152542373,0,6.4421462536,0.2591399764,70.013163265,29.2471082205,68.2141682366,29.6250616031,81.4946619217,69.4540632137,50.7179925278,58.4506637708,14.926899028,44.9216867078,62.0576974923,26.2574420037,60.4938271605,53.8461538462,51.1811023622,13.3079847909,4.5423756883,85.0402761795,100,95.287764789,88.4505447513,55.0150630129,88.6031966644,47.5550779151,0,83.4862385321,11.9560449616,60.2477335258,44.0124416796,15.1010157091,25,#DIV/0!,41.1749256052,33.5587691589,11.3263501459,18.775248418,45.7120541897,13.4690681284,10.6228495966,44.9691619544,34.0686681044,20.1749279491,97.8538283063,0.0003761469,5.0972778774,17.0731707317,14.2668040351,16.8891425389,29.8074246756,21.2613601519,17.9335307123,9.188138859,69.9319206203,99.27552375,99.7752818851,46.6537775134,53.1303320646,87.6961000168,17.6710542275,114.3182027922,0,402.9055976402,99.6592487964,1.1375050045,7.660344138,8.6596799877,2.4653968567,9.676068087,31.2158847757,63.1534427416,21.8993240843,7.4733889371,12.5677447821
Guerrero,4.5647096215,16.6953192497,66.1774023231,46.024665025,74.1379310345,60.6837606838,77.3885350318,47.9452054795,48.9873417722,21.0682451755,0,1.6030724645,100,96.6101694915,0.1469025653,6.658890919,8.272366262,22.7515286481,16.7280698143,36.7959014124,0,3.2028469751,0,18.3445617401,41.884542709,24.3860004964,60.0378761747,41.9975793442,18.8051734757,0,6.5934065934,0,55.5133079848,3.1052364503,38.8262370541,0.4514199002,94.1691065855,54.9129027197,14.5777277973,68.0333564976,54.7555077915,0,60.7970800039,37.7054791245,100,38.6210471747,10.0399441873,17.5,#DIV/0!,22.4797840287,76.3473484379,11.6135580923,10.3035804661,11.6788283513,7.3610023493,5.4725721844,26.3018859752,26.7049543691,11.5285943621,98.6078886311,0.0024386165,11.3899663776,30.081300813,82.6707218707,12.9627502556,55.4670496235,8.0715887339,13.7653667681,8.8449809802,37.3450815391,86.66401,99.3494428726,0,93.7524609529,81.3949294516,0,91.2086389243,27.4786013496,776.3508550048,99.6172151305,0,37.8682724839,0,2.1001370647,5.4303014132,2.4596581713,86.8119525057,0,1.3278043047,0
Hidalgo,3.9402675726,16.7298998488,79.0760295671,65.8262987501,63.7931034483,52.9914529915,60.5095541401,65.7534246575,24.5569620253,67.9651300572,89.5550086578,8.9701192906,47.0219304361,93.2203389831,6.5495638651,17.6543578366,1.6899830859,45.6097600045,0.1101140246,17.0300506288,39.6480223927,58.71886121,48.3238782878,19.1616127718,50.86751142,33.0836401589,42.9099357355,53.2559279521,6.9184972285,21.2121212121,39.010989011,66.5354330709,22.0532319392,9.7442047793,59.2405063291,3.6594881186,91.1703914232,74.5631100707,26.0653209474,80.7505211953,70.0161203654,0,100,17.394030996,32.2615420157,39.3468118196,8.0495017543,32.5,#DIV/0!,38.2206965914,76.1832365425,16.1610674621,8.1639716385,40.0184715512,17.6977290525,13.8384791189,4.9777367648,26.051235377,16.1706460862,100,0.7678812027,0,0,25.3422532094,31.1418039294,39.6965169585,5.5320685317,11.564658159,13.4901227465,35.7371473439,87.88084875,99.6500351167,61.7638310529,65.6254101588,89.1955363427,1.5227124207,89.2356588966,41.9531014565,452.6982986221,99.6644495739,8.7555139956,4.5219910932,5.3954181045,0.1316955896,10.5591760808,39.1794297011,51.9986744638,2.0819887849,13.0816556465,7.7622910875
Jalisco,26.1508872562,31.8507948236,32.909186906,47.4343817664,39.6551724138,32.4786324786,29.2993630573,81.5068493151,26.582278481,0,74.9291362106,4.9655804827,61.7637167241,98.3050847458,5.016686637,18.4335758835,1.2629220229,32.6216495964,27.620096324,79.6944590776,51.4818616653,76.512455516,72.8873498858,43.4876907756,80.3133561415,44.7767359885,58.2030258742,68.9208846893,13.7138164648,28.2828282828,79.6703296703,33.0708661417,18.2509505703,12.7848370732,100,11.0418991364,77.4442634655,71.7459349655,10.8848898193,72.2029186935,48.8447071467,0,89.9082568807,48.4150683122,44.540597765,69.155002592,17.1956712849,52.5,#DIV/0!,39.3084158119,28.9242602515,10.7907541613,32.7671064648,87.6127401752,26.3899765074,36.9751946431,19.0502058922,40.6656985902,22.1091937264,93.6194895592,0,19.7382042896,80.487804878,14.166920213,15.0318443909,12.432177001,42.2677316655,31.0802432009,7.156301666,64.8397255425,92.49498875,99.1995097847,58.4473527662,90.6286914293,80.3138170582,9.3213956275,86.2655566935,0,386.3080306462,99.6206820865,24.3690047584,14.5519005004,23.3799413384,12.0598558736,29.8135080155,21.2377401886,71.6527937986,43.2758960419,13.1995225976,10.947968677
México,31.8919740201,34.5079691508,24.1446673706,29.4821831619,80.4597701149,88.0341880342,93.949044586,82.1917808219,63.2911392405,13.3164779266,39.5219024369,25.9515943055,47.0219304361,92.3728813559,10.3420595092,6.4825571974,1.7465128986,0,45.4215206026,59.6453646538,75.1319147234,68.3274021352,80.8737935607,49.7615890992,56.3654134052,0,77.7229888046,31.111988344,44.7136111681,37.3333333333,78.5714285714,56.6929133858,17.1102661597,100,70.1035673188,6.6616961416,0,0,8.1714854103,25.7817929117,0,0,44.3425076453,67.1322373151,74.8584196114,48.7817522032,15.145130496,65,#DIV/0!,35.9005085439,27.4590005575,0.2285223901,16.7695120792,52.6817934035,2.8191072827,41.7250205293,54.6088702904,26.0962768861,23.6711759247,86.5429234339,0.1959096974,3.5689809701,1.6260162602,0,5.7021679287,16.4163473826,4.2550208572,22.4931144355,25.1958984462,73.7319550414,85.454205,99.3999046141,61.005353956,65.6254101588,75.4450957109,9.9946080606,81.0896805301,72.1439868229,896.6832157111,99.7056871583,0.2014530477,6.0069758762,11.8118681134,51.6491490368,0,27.5901430516,69.3955066527,19.6474448873,17.5814076215,6.5494793538
Michoacán,7.7577408082,15.6164804977,59.7571277719,55.5799677753,66.6666666667,45.2991452991,72.6114649682,67.1232876712,30.6329113924,21.9202105696,29.998827069,4.0528893415,61.7637167241,94.0677966102,2.3016708082,4.40508379,1.0976798993,47.8020139341,10.4474539991,36.3942567203,29.9597199001,69.7508896797,49.6058351138,12.3771513817,43.9305396277,19.4501117139,55.6956747481,80.5498031872,25.2514884007,41.6666666667,42.3076923077,14.1732283465,16.3498098859,16.8451647709,74.9942462601,2.1123227762,71.6977561066,82.2185418636,25.6686519243,85.9624739402,54.8629768941,0,51.0703363914,63.0912043515,27.3648222382,49.5593571799,22.7820609845,20,#DIV/0!,25.336013597,25.2076850337,1.3469393453,12.7060289904,63.2887097192,10.5716523101,13.2127137969,18.85075859,42.8358365243,12.2629588598,97.6798143852,0.0487900301,5.5145846126,16.2601626016,36.6593333201,7.7710958805,42.6814014441,21.3803610797,16.9207940665,19.182845552,26.9785442515,98.55808125,99.5875932496,65.3480071386,62.5016406353,89.4093303199,40.6064733653,81.8425430177,0,465.1464738676,99.4641338217,0.6275564455,9.139233935,2.8867091991,0,11.8659344196,12.1792937948,74.8751819328,12.0420847888,0.1749598207,11.3312961183
Morelos,3.1232878568,40.77424426,49.8310454065,44.3201977358,72.9885057471,62.3931623932,67.1974522293,90.4109589041,93.9240506329,6.1832093289,54.2112224335,51.4812949607,47.0219304361,95.7627118644,22.7043514045,17.2342340514,3.0551420286,79.1793430425,10.687235006,22.4433828733,56.5033771137,69.7508896797,88.8565534517,11.6905794094,40.1193973504,33.9837247184,41.825137956,75.1571666089,24.7382467666,38.8888888889,65.3846153846,88.188976378,71.8631178707,48.1627615802,82.0483314154,3.4072047254,84.043835392,79.0187863969,20.3259023951,84.2251563586,79.6401893529,0,79.8165137615,7.8390170943,26.3425809746,39.243131156,44.1152940568,57.5,#DIV/0!,37.9858342651,17.013231831,0.3581589543,5.8923516074,49.9671778427,28.9741581832,14.9235364341,36.3130147466,34.2815972211,30.7920526963,88.8051044084,29.0540126722,4.590282417,2.4390243902,48.2748242554,8.7676588235,40.3345207679,25.3791687438,23.2406954031,57.5122649223,51.5896778093,91.76347875,99.3744922263,74.5984533016,74.9967187295,81.4895172918,19.5493362307,58.9062039409,44.7254918441,618.6739685619,99.5368332953,6.35832870058439E-005,15.6826034087,4.5161435377,26.0183209655,16.6429480249,24.7555795152,67.405945601,41.5540691768,8.8885983361,68.3761334761
Nayarit,0.1950153806,33.8774021517,80.2428722281,97.0793845779,32.7586206897,18.8034188034,84.7133757962,10.9589041096,30.6962025316,22.5743922154,22.7054118983,6.469691098,61.7637167241,100,100,11.966052251,5.4156719171,40.0772532353,14.7172024863,58.2006369427,51.2448707965,79.7153024911,62.274368231,20.7390304801,58.5638720352,61.5100203413,67.0917043889,79.4401832395,36.3785670294,58.3333333333,67.032967033,70.0787401575,31.1787072243,5.1684691861,73.6593785961,5.1080318091,95.1121114176,86.4824819073,0,92.7032661571,76.2493283181,0,79.8165137615,28.2892801095,57.1697132737,43.4421980301,16.777353586,47.5,#DIV/0!,50.0128980675,67.0469185439,13.296818472,18.9318496855,45.0144014731,8.4573218481,35.0224447814,27.2658123183,38.4112613177,15.8066688741,98.5498839907,0,9.5541133192,1.6260162602,37.1963489123,17.8396021445,69.0622840136,17.0059436752,19.989367295,10.0979829158,51.5871525363,86.17868125,99.2870010055,9.4437834622,93.7524609529,76.662877776,0,24.7225668128,40.8843457158,295.0214121793,99.7089526563,0,29.298189968,0.5028203665,17.2583606778,11.0174579838,8.8170275474,73.9894257612,0,2.0995848407,1.9916082901
Nuevo León,34.0611373275,79.8797286236,66.9165786695,68.5875401148,61.4942528736,70.0854700855,89.1719745223,89.0410958904,44.9367088608,30.999711962,95.5836540382,9.2360276046,0,94.0677966102,3.3420153076,30.6685406651,0.160536021,61.2319719692,100,94.0456747782,80.5626784906,90.7473309609,80.6969719296,81.2549295207,97.5408880961,39.0264494781,100,60.7602954034,24.3276534592,35,93.956043956,80.3149606299,10.6463878327,14.4142632375,98.5155350978,12.9153303405,72.8289665897,63.4119613473,63.6715774516,41.8346073662,38.0977968834,0,79.2048929664,8.7925261362,66.4444726004,100,8.3889477562,82.5,#DIV/0!,39.1419310714,60.6268411433,62.8002663948,44.1363322689,85.3722934805,33.8292873923,64.6689400858,65.1144645217,40.4260045299,34.4182894681,0,0.0001560427,19.2690454384,40.6504065041,99.7010929715,28.81871789,0,61.2121916038,41.3438140512,13.1465819354,69.5394727644,93.69776,99.5374945423,75.2676977989,71.8729492059,54.0690650562,11.1722956096,100,0,614.5245768134,99.9194301386,2.1799847866,5.4489477244,26.194637799,25.694585651,40.0142128755,29.0877209157,72.7856189084,77.8532443805,64.6567042339,12.260877407
Oaxaca,4.307911552,2.9855448407,77.1119324182,61.1225425419,87.3563218391,58.9743589744,63.0573248408,100,73.4810126582,14.6546376357,6.6130012998,0.7925392517,100,84.7457627119,17.2898179406,0.2096942463,2.88244293,33.9918089689,6.2085786029,0,14.677859584,10.3202846975,23.281514772,0,43.8319923211,15.123336655,0,100,6.4052555943,48.6111111111,6.5934065934,45.2755905512,16.7300380228,11.2398900476,0,0,73.1016258964,89.65544782,14.4287688997,94.0931202224,44.1160666308,0,29.3577981651,41.6305757911,11.0841812074,17.6257128046,9.1219754877,7.5,#DIV/0!,12.5139575233,41.4439725688,0,7.4944200669,0,1.487862177,5.7776032593,4.2169928124,27.5414986522,0.5515811024,99.2459396752,0.0651586233,7.7227803518,15.4471544715,19.0883052328,0,60.5965504762,1.2737431703,7.706620811,15.0707605284,49.4607729348,100,100,50.8030933968,43.7458984119,94.0004069593,17.6710542275,127.7085691908,15.8164368612,436.1007316281,99.6956730742,1.985695456,14.7543652389,0.651625926,0.3259899953,6.2660410043,12.7067681513,72.2662049011,5.4555657775,0,2.6332308655
Puebla,11.6917705791,18.856182659,46.9376979937,45.4787871868,17.2413793103,24.7863247863,0,93.8356164384,77.5949367089,12.1253896146,72.0796618487,16.6350451457,47.0219304361,90.6779661017,1.8042690594,20.0461429061,0.4258483724,79.0112077748,22.0732309719,72.9917754004,32.4946809562,43.7722419929,53.4148677522,9.6551901343,34.3071582953,18.3168186039,41.8191773149,51.0421418219,25.7442003695,31.8181818182,39.5604395604,72.4409448819,57.7946768061,15.1400254443,71.7031070196,3.7139873565,91.7854191952,72.430703549,8.3062051485,78.3877692842,39.6560988716,0,56.880733945,29.9423329466,42.4878283657,25.2462415759,9.1688016256,32.5,#DIV/0!,28.0994076852,61.1346725786,8.6641215754,2.5931305563,29.8725713203,10.5716523101,10.785461178,19.065035478,28.3085794713,7.0641762243,98.7238979118,23.8684409793,2.2598541769,4.8780487805,26.4531532606,6.6532247826,21.6153586748,8.1025638537,24.0433775384,16.4287174097,38.298504067,90.79282125,99.3999046141,32.1088637716,62.5016406353,81.3870350274,17.6710542275,63.9366894739,100,1017.0155764175,99.7459626886,0.1548253039,6.0950429914,18.2756098446,30.260622356,11.9905042179,24.6324225558,69.3531597134,19.6127653631,8.286326684,13.9563388496
Querétaro,5.5940386983,38.9504251984,81.8057022175,70.7040125236,25.8620689655,64.1025641026,91.7197452229,56.8493150685,38.7974683544,43.2580589279,83.7909637288,12.6288154857,61.7637167241,94.9152542373,19.3974483073,60.6140674962,0.0178749118,84.0470039967,6.3845552217,75.0118832589,50.4320344813,85.409252669,68.3599793708,66.1683764823,75.7061600544,35.615573891,45.0675921806,72.1420450196,20.7554916855,23.3333333333,64.8351648352,50,16.7300380228,36.2393725197,75.3509781358,40.9167038788,83.4338916151,72.2127235859,52.218456778,74.9131341209,26.4373992477,0,63.3027522936,47.6749848407,53.9454895331,64.6967340591,9.1216227194,55,#DIV/0!,46.2101757329,64.3958633492,34.0929739843,10.9849612142,76.7493886581,25.9201252937,30.5480825962,52.4225555731,26.8329691659,18.2191034847,97.8538283063,0.0009373478,5.981299549,4.0650406504,43.4294967514,23.8338371293,47.1674896279,16.7810264421,21.9611288819,24.1336421342,17.1697039239,96.6097325,99.3494428726,36.3622843546,56.2541015881,100,17.6710542275,26.6030430435,65.0230739058,162.2408762274,99.7958420556,0.1180953584,9.3285343243,22.2585791192,11.7853030707,12.9722534188,29.8035888181,65.4088479785,68.323961679,39.6173838656,27.6088497268
Quintana Roo,4.2319103982,29.1819232147,23.0517423442,45.8571215254,86.2068965517,73.5042735043,51.5923566879,80.1369863014,79.6835443038,86.7818710237,36.3560248142,0.7659939924,100,98.3050847458,16.795588624,12.4734394935,0.4544043768,6.2438854884,13.5110937307,62.2196067571,71.8313860298,90.0355871886,100,27.2111531799,91.3245195856,28.3587120125,98.1510389455,93.2446242011,24.3481831246,100,77.4725274725,59.4488188976,19.391634981,21.7894684279,73.4292289988,6.6204448645,77.3328358241,56.9953692003,75.2603103557,52.4669909659,24.0193444385,0,57.4923547401,58.3300756896,8.4777835252,81.0264385692,8.5705246304,60,#DIV/0!,69.4646853841,33.7590125141,22.5763954901,10.2556776532,83.4785637162,100,32.7259950976,32.1718976986,18.0142256367,14.8263750859,99.6519721578,0.0010335498,91.5903331658,78.0487804878,92.3363884709,54.8629532164,46.3300929895,27.2526819684,24.4896687569,26.4582108852,38.2031618068,87.88084875,99.0738999822,6.6180844735,65.6254101588,58.458723476,17.6710542275,97.8880243121,0,361.4116801552,99.859680168,100,100,1.2896811896,7.496542497,77.7294157739,0,99.863537273,13.4304860002,13.4015172804,4.6280072262
San Luis Potosí,5.958682114,31.6341037442,86.4572333685,77.1181658323,75.8620689655,39.3162393162,68.7898089172,65.0684931507,14.3037974684,30.3383798271,78.084750894,8.9547157512,0,98.3050847458,1.7911853893,17.1921613204,0.5854372345,97.6396866982,5.3698596303,52.7189720555,24.7665466329,30.6049822064,60.6387681426,48.5079512842,63.2597280108,18.2197688669,53.7964361483,61.7497338142,37.9593512626,66.6666666667,57.6923076923,62.5984251969,51.711026616,9.4688523566,64.6029919448,6.0538898587,46.6465128163,55.8467250022,58.5552560704,58.8603196664,61.9022031166,0,25.6880733945,69.1545455594,76.0892463363,47.3302229134,11.5229782439,40,#DIV/0!,37.0628003374,47.239531267,14.0649085753,11.5051296134,60.7043734785,9.6319498825,13.0936282595,26.8977826419,23.0062183459,11.6070772967,99.535962877,15.2059735931,8.1860437086,8.9430894309,17.3559582143,24.8823185183,31.9521922563,10.5261744585,13.0077776608,9.1997057141,75.4017328595,95.3999275,99.5251513825,62.7900059488,65.6254101588,75.5614564317,8.1038075167,72.6613737415,0,514.9391748495,99.8383698344,0.1962604126,10.3312194332,17.7726757687,4.1411763407,8.5384194168,30.6890188336,61.0700433097,8.1162159419,18.7119981924,12.9222644315
Sinaloa,5.934474611,41.312457666,30.7074973601,15.8616362547,49.4252873563,57.264957265,29.9363057325,55.4794520548,0,7.5065969828,24.6938112745,1.2096736353,32.6865213178,98.3050847458,0.9638215353,21.0642385745,2.1673919158,19.2904136179,28.3569340962,80.1927021483,59.3497843552,91.103202847,51.5250865689,38.8290137786,72.5255207573,43.3212889319,71.1119470416,55.9368293749,39.2116608499,54.9019607843,68.6813186813,42.9133858268,30.4182509506,0,93.9930955121,7.0698057642,36.0290607812,54.5341696318,22.2099461759,62.6824183461,46.3729177861,0,54.4342507645,44.1088505832,47.2812289152,72.9911871436,27.6453375709,57.5,#DIV/0!,50.510084236,28.2776798382,4.4575613504,23.8669520836,57.3788976755,15.9749412686,45.9994981014,31.0431118863,32.6838610756,36.9379923715,94.2575406032,0.027617121,26.458309938,39.0243902439,28.4766059519,19.9015931556,38.162920713,29.1302505911,23.0422444433,19.6298686574,62.3015602027,91.5172975,99.5124451886,92.4449732302,93.7524609529,74.8784191993,17.6710542275,88.790793505,0,319.9177626703,99.8484049199,8.5744393915,15.0193633236,4.5358347549,3.4492687965,18.5223206304,6.7482121788,74.6217616384,9.2862704324,8.9868281662,4.2778082306
Sonora,8.3158623386,43.1146118363,33.0042238648,67.1469951379,37.9310344828,62.3931623932,39.1719745223,15.0684931507,46.9620253165,52.8146454185,47.8510721932,0.6168188927,32.6865213178,88.9830508475,7.0485184275,48.5768449343,0.1258277773,62.1240036646,26.1196641008,46.9517743403,65.7725326936,92.8825622776,69.9734767553,74.338498627,80.8899400946,44.9537623266,54.120881849,47.4558216134,25.2309587354,16.6666666667,88.4615384615,62.9921259843,18.2509505703,1.0266234473,81.3808975834,7.2549721284,34.8745459394,33.4395616081,13.607918463,49.8957609451,32.2944653412,0,50.4587155963,45.5428500381,63.70948939,67.6516329705,25.5299745643,67.5,#DIV/0!,46.0560911663,55.8506426076,24.9850384494,28.9200793979,90.7038534586,22.7094753328,38.1369814378,52.4576614634,27.2908513898,12.5616391207,79.6983758701,12.0403806726,23.3873840117,30.8943089431,19.5550781262,29.1551415343,18.3900633929,38.602855554,26.2598658584,7.8363488491,59.5296406624,92.73413625,99.6754475045,100,68.7491796824,55.6255175214,26.2575300692,93.8928205455,32.9980365957,220.3323607064,99.8142867735,1.5410893216,12.5666456598,27.9712158456,16.5707256651,12.5044603819,24.4098742545,65.3799169208,6.1951044747,15.1442794957,12.9072387715
